+------+----------------+------+-------+-----+----------------------+------------------+--------+
|  id  | account_number | year | month | day |     atm_location     | transaction_type | amount |
| 136  | 99835463       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 20     |
| 137  | 93401152       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 70     |
| 138  | 21149684       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 50     |
| 139  | 17171330       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 80     |
| 140  | 62690806       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 55     |
| 141  | 67735369       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 80     |
| 142  | 21656307       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 90     |
| 143  | 28579039       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 90     |
| 144  | 86363979       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 55     |
| 145  | 71305903       | 2021 | 7     | 27  | Blumberg Boulevard   | withdraw         | 5      |
| 146  | 96336648       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 40     |
| 147  | 15871517       | 2021 | 7     | 27  | Blumberg Boulevard   | withdraw         | 30     |
| 148  | 58673910       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 15     |
| 149  | 19674896       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 85     |
| 150  | 66454844       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 35     |
| 151  | 40231842       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 30     |
| 152  | 52457779       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 10     |
| 153  | 66220752       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 60     |
| 154  | 26581257       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 35     |
| 155  | 37543139       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 55     |
| 156  | 32179718       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 45     |
| 157  | 62075502       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 5      |
| 158  | 23708703       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 100    |
| 159  | 65992992       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 45     |
| 160  | 40665580       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 40     |
| 161  | 97338436       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 60     |
| 162  | 36438351       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 25     |
| 163  | 31380453       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 50     |
| 164  | 26567509       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 15     |
| 165  | 90209473       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 40     |
| 166  | 20774848       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 60     |
| 167  | 33528144       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 15     |
| 168  | 27952274       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 15     |
| 169  | 75571594       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 50     |
| 170  | 49406050       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 40     |
| 171  | 15911007       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 45     |
| 172  | 26797365       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 50     |
| 173  | 16113845       | 2021 | 7     | 27  | Blumberg Boulevard   | withdraw         | 5      |
| 174  | 91814087       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 95     |
| 175  | 59116006       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 70     |
| 176  | 50380485       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 70     |
| 177  | 15871517       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 60     |
| 178  | 21021018       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 100    |
| 179  | 79165736       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 50     |
| 180  | 44432923       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 10     |
| 181  | 14969369       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 50     |
| 182  | 31380453       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 5      |
| 183  | 56171033       | 2021 | 7     | 27  | Blumberg Boulevard   | deposit          | 20     |
| 184  | 26249951       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 25     |
| 185  | 57029719       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 95     |
| 186  | 24907878       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 70     |
| 187  | 73530768       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 70     |
| 188  | 86850293       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 50     |
| 189  | 21004503       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 50     |
| 190  | 36709431       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 55     |
| 191  | 38010758       | 2021 | 7     | 27  | Leggett Street       | deposit          | 75     |
| 192  | 56648519       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 45     |
| 193  | 70992522       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 35     |
| 194  | 21021018       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 65     |
| 195  | 27362189       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 15     |
| 196  | 65190958       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 95     |
| 197  | 32134232       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 30     |
| 198  | 37543139       | 2021 | 7     | 27  | Blumberg Boulevard   | deposit          | 35     |
| 199  | 76896546       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 50     |
| 200  | 79758906       | 2021 | 7     | 27  | Blumberg Boulevard   | deposit          | 90     |
| 201  | 47746428       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 35     |
| 202  | 26797365       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 20     |
| 203  | 33637883       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 20     |
| 204  | 72161631       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 50     |
| 205  | 47306903       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 85     |
| 206  | 39696970       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 20     |
| 207  | 19531272       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 90     |
| 208  | 87859883       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 55     |
| 209  | 41935128       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 90     |
| 210  | 97773635       | 2021 | 7     | 27  | Leggett Street       | deposit          | 25     |
| 211  | 32212020       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 55     |
| 212  | 46222318       | 2021 | 7     | 27  | Blumberg Boulevard   | deposit          | 80     |
| 213  | 73183211       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 95     |
| 214  | 40237163       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 30     |
| 215  | 39167741       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 25     |
| 216  | 74812642       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 40     |
| 217  | 57029719       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 95     |
| 218  | 33528144       | 2021 | 7     | 27  | Blumberg Boulevard   | withdraw         | 5      |
| 219  | 66220752       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 65     |
| 220  | 45096649       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 90     |
| 221  | 40231842       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 75     |
| 222  | 32179718       | 2021 | 7     | 27  | Daboin Sanchez Drive | withdraw         | 15     |
| 223  | 55322348       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 25     |
| 224  | 93622979       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 50     |
| 225  | 16654966       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 95     |
| 226  | 70504954       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 55     |
| 227  | 14180174       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 45     |
| 228  | 99835463       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 90     |
| 229  | 44432923       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 20     |
| 230  | 32747120       | 2021 | 7     | 27  | Leggett Street       | withdraw         | 20     |
| 231  | 45468795       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 50     |
| 232  | 26191313       | 2021 | 7     | 27  | Daboin Sanchez Drive | deposit          | 90     |
| 233  | 27952274       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 90     |
| 234  | 45468795       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 10     |
| 235  | 39774254       | 2021 | 7     | 27  | Carvalho Road        | withdraw         | 70     |
| 236  | 58552019       | 2021 | 7     | 27  | Blumberg Boulevard   | deposit          | 55     |
| 237  | 27482737       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 25     |
| 238  | 97773635       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 85     |
| 239  | 74812642       | 2021 | 7     | 27  | Blumberg Boulevard   | deposit          | 90     |
| 240  | 41935128       | 2021 | 7     | 27  | Blumberg Boulevard   | withdraw         | 30     |
| 241  | 32212020       | 2021 | 7     | 27  | Humphrey Lane        | withdraw         | 10     |
| 242  | 94751264       | 2021 | 7     | 27  | Carvalho Road        | deposit          | 55     |
| 243  | 24133830       | 2021 | 7     | 27  | Leggett Street       | deposit          | 60     |
| 244  | 39167741       | 2021 | 7     | 27  | Humphrey Lane        | deposit          | 5      |
| 245  | 90209473       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 45     |
| 246  | 28500762       | 2021 | 7     | 28  | Leggett Street       | withdraw         | 48     |
| 247  | 41935128       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 15     |
| 248  | 94973060       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 50     |
| 249  | 21004503       | 2021 | 7     | 28  | Blumberg Boulevard   | deposit          | 40     |
| 250  | 45468795       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 15     |
| 251  | 57029719       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 80     |
| 252  | 93622979       | 2021 | 7     | 28  | Blumberg Boulevard   | deposit          | 15     |
| 253  | 66454844       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 60     |
| 254  | 16113845       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 55     |
| 255  | 66344537       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 55     |
| 256  | 97773635       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 85     |
| 257  | 45096649       | 2021 | 7     | 28  | Blumberg Boulevard   | deposit          | 65     |
| 258  | 92647903       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 5      |
| 259  | 85274751       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 70     |
| 260  | 99835463       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 40     |
| 261  | 67735369       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 20     |
| 262  | 40665580       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 35     |
| 263  | 19531272       | 2021 | 7     | 28  | Blumberg Boulevard   | withdraw         | 55     |
| 264  | 28296815       | 2021 | 7     | 28  | Leggett Street       | withdraw         | 20     |
| 265  | 96336648       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 20     |
| 266  | 76054385       | 2021 | 7     | 28  | Leggett Street       | withdraw         | 60     |
| 267  | 49610011       | 2021 | 7     | 28  | Leggett Street       | withdraw         | 50     |
| 268  | 92206742       | 2021 | 7     | 28  | Blumberg Boulevard   | withdraw         | 30     |
| 269  | 16153065       | 2021 | 7     | 28  | Leggett Street       | withdraw         | 80     |
| 270  | 24133830       | 2021 | 7     | 28  | Carvalho Road        | deposit          | 5      |
| 271  | 20774848       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 40     |
| 272  | 21656307       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 10     |
| 273  | 69638157       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 20     |
| 274  | 27952274       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 95     |
| 275  | 86363979       | 2021 | 7     | 28  | Leggett Street       | deposit          | 10     |
| 276  | 13156006       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 15     |
| 277  | 89843009       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 40     |
| 278  | 69278040       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 45     |
| 279  | 98353484       | 2021 | 7     | 28  | Daboin Sanchez Drive | deposit          | 95     |
| 280  | 92647903       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 40     |
| 281  | 57022441       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 55     |
| 282  | 32179718       | 2021 | 7     | 28  | Daboin Sanchez Drive | deposit          | 20     |
| 283  | 75571594       | 2021 | 7     | 28  | Blumberg Boulevard   | withdraw         | 40     |
| 284  | 32212020       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 20     |
| 285  | 71305903       | 2021 | 7     | 28  | Carvalho Road        | deposit          | 35     |
| 286  | 16654966       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 100    |
| 287  | 38010758       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 85     |
| 288  | 25506511       | 2021 | 7     | 28  | Leggett Street       | withdraw         | 20     |
| 289  | 62690806       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 45     |
| 290  | 79165736       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 5      |
| 291  | 76849114       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 10     |
| 292  | 56171033       | 2021 | 7     | 28  | Daboin Sanchez Drive | deposit          | 70     |
| 293  | 27482737       | 2021 | 7     | 28  | Carvalho Road        | deposit          | 85     |
| 294  | 66254725       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 70     |
| 295  | 74812642       | 2021 | 7     | 28  | Blumberg Boulevard   | withdraw         | 60     |
| 296  | 96352349       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 10     |
| 297  | 26017967       | 2021 | 7     | 28  | Daboin Sanchez Drive | deposit          | 85     |
| 298  | 70992522       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 25     |
| 299  | 37543139       | 2021 | 7     | 28  | Daboin Sanchez Drive | deposit          | 85     |
| 300  | 66344537       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 60     |
| 301  | 55656186       | 2021 | 7     | 28  | Carvalho Road        | withdraw         | 95     |
| 302  | 50380485       | 2021 | 7     | 28  | Humphrey Lane        | withdraw         | 100    |
| 303  | 54824866       | 2021 | 7     | 28  | Blumberg Boulevard   | deposit          | 15     |
| 304  | 26249951       | 2021 | 7     | 28  | Carvalho Road        | deposit          | 70     |
| 305  | 93401152       | 2021 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 65     |
| 306  | 34939061       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 10     |
| 307  | 24064261       | 2021 | 7     | 28  | Daboin Sanchez Drive | deposit          | 25     |
| 308  | 69638157       | 2021 | 7     | 28  | Humphrey Lane        | deposit          | 85     |
