+-----------+-----------------+------+
| flight_id | passport_number | seat |
| 37        | 2312901747      | 5B   |
| 37        | 5551547908      | 6A   |
| 37        | 5806941094      | 7D   |
| 37        | 2750542732      | 8A   |
| 37        | 1236213682      | 9A   |
| 37        | 2400516856      | 2D   |
| 38        | 7918203533      | 3C   |
| 38        | 2400516856      | 4B   |
| 38        | 9183348466      | 5A   |
| 38        | 9628244268      | 6A   |
| 38        | 3412604728      | 7D   |
| 39        | 2963008352      | 8C   |
| 39        | 9224308981      | 9D   |
| 39        | 5031682798      | 2B   |
| 39        | 2884243902      | 3D   |
| 39        | 7874488539      | 4D   |
| 39        | 9608210024      | 5C   |
| 39        | 4120608613      | 6A   |
| 40        | 8914039923      | 7C   |
| 40        | 3249120117      | 8D   |
| 40        | 3915621712      | 9C   |
| 40        | 4195341387      | 2A   |
| 40        | 8613298074      | 3C   |
| 40        | 7178034193      | 4D   |
| 40        | 4977790793      | 5A   |
| 40        | 6216255522      | 6C   |
| 41        | 3355598951      | 7B   |
| 41        | 2750542732      | 8A   |
| 41        | 1207566299      | 9D   |
| 41        | 9692634019      | 2C   |
| 41        | 5138876283      | 3A   |
| 41        | 1165086731      | 4B   |
| 41        | 5140313594      | 5A   |
| 41        | 9135709773      | 6A   |
| 42        | 4377966420      | 7B   |
| 42        | 1833124350      | 8B   |
| 42        | 9586786673      | 9B   |
| 42        | 7226911797      | 2B   |
| 42        | 3835860232      | 3C   |
| 42        | 1618186613      | 4D   |
| 42        | 7179245843      | 5D   |
| 42        | 1682575122      | 6D   |
| 43        | 7597790505      | 7B   |
| 43        | 6128131458      | 8A   |
| 43        | 6264773605      | 9A   |
| 43        | 3642612721      | 2C   |
| 43        | 4356447308      | 3B   |
| 43        | 7441135547      | 4A   |
| 44        | 4041498045      | 5A   |
| 44        | 7951366683      | 6B   |
| 44        | 9172951504      | 7B   |
| 44        | 5310124622      | 8C   |
| 44        | 5806941094      | 9C   |
| 44        | 9852889341      | 2D   |
| 45        | 3699913849      | 3D   |
| 45        | 2996517496      | 4A   |
| 45        | 7918203533      | 5B   |
| 45        | 3925120216      | 6B   |
| 46        | 3816396248      | 7A   |
| 46        | 9584465633      | 8B   |
| 46        | 7020183712      | 9D   |
| 46        | 7712200330      | 2D   |
| 47        | 3011089587      | 3D   |
| 47        | 3391710505      | 4D   |
| 47        | 2818150870      | 5B   |
| 47        | 8932594930      | 6C   |
| 47        | 5551547908      | 7D   |
| 47        | 7771405611      | 8D   |
| 47        | 2438825627      | 9B   |
| 47        | 7884829354      | 2A   |
| 48        | 4001449165      | 3D   |
| 48        | 2290269570      | 4A   |
| 48        | 2160709651      | 5B   |
| 48        | 8336437534      | 6B   |
| 48        | 8496433585      | 7C   |
| 48        | 6117294637      | 8C   |
| 49        | 6464352048      | 9A   |
| 49        | 1236213682      | 2A   |
| 49        | 4631067354      | 3D   |
| 49        | 2169423415      | 4B   |
| 49        | 8834222028      | 5D   |
| 50        | 3866596772      | 6A   |
| 50        | 7118667746      | 7A   |
| 50        | 5361280978      | 8B   |
| 50        | 4223654265      | 9A   |
| 51        | 4328444220      | 2B   |
| 51        | 2047409662      | 3A   |
| 51        | 1782675901      | 4C   |
| 51        | 9290922261      | 5D   |
| 51        | 1095374669      | 6C   |
| 51        | 9698118788      | 7D   |
| 51        | 2041495124      | 8B   |
| 51        | 7954314541      | 9B   |
| 52        | 4590049635      | 2B   |
| 52        | 8639149598      | 3B   |
| 52        | 8909375052      | 4D   |
| 52        | 1679711307      | 5B   |
| 52        | 5584283945      | 6B   |
| 52        | 5776544886      | 7A   |
| 52        | 9747563214      | 8C   |
| 53        | 7894166154      | 9B   |
| 53        | 6034823042      | 2C   |
| 53        | 4408372428      | 3D   |
| 53        | 2312901747      | 4D   |
| 53        | 1151340634      | 5A   |
| 53        | 8174538026      | 6D   |
| 53        | 1050247273      | 7A   |
| 53        | 7834357192      | 8C   |
| 54        | 9687940003      | 9C   |
| 54        | 6632213958      | 2C   |
| 54        | 2835165196      | 3A   |
| 54        | 6131360461      | 4B   |
| 54        | 3231999695      | 5B   |
| 54        | 3592750733      | 6C   |
| 54        | 2626335085      | 7B   |
| 54        | 6632213958      | 8C   |
| 55        | 6216255522      | 9A   |
| 55        | 2041495124      | 2D   |
| 55        | 1139561952      | 3D   |
| 55        | 3816396248      | 4A   |
| 55        | 1165086731      | 5D   |
| 55        | 9584465633      | 6C   |
| 56        | 4674590724      | 7A   |
| 56        | 6263461050      | 8A   |
| 56        | 2290269570      | 9B   |
| 56        | 2047409662      | 2A   |
| 56        | 2750542732      | 3B   |
| 57        | 7441135547      | 4B   |
| 57        | 6131360461      | 5C   |
| 57        | 9852889341      | 6C   |
| 57        | 4590049635      | 7D   |
| 57        | 9172951504      | 8A   |
| 57        | 3366196639      | 9D   |
| 58        | 4158550933      | 2D   |
| 58        | 4215752756      | 3C   |
| 58        | 7712200330      | 4D   |
| 58        | 9698118788      | 5B   |
| 58        | 7884829354      | 6A   |
| 58        | 5776544886      | 7A   |
| 58        | 6034823042      | 8C   |
+-----------+-----------------+------+
