+-----+----------------+----------------+------+-------+-----+----------+
| id  |     caller     |    receiver    | year | month | day | duration |
| 71  | (984) 555-5921 | (826) 555-1652 | 2021 | 7     | 25  | 52       |
| 72  | (707) 555-7535 | (031) 555-6622 | 2021 | 7     | 25  | 316      |
| 73  | (499) 555-9472 | (770) 555-1861 | 2021 | 7     | 25  | 317      |
| 74  | (721) 555-1131 | (067) 555-4133 | 2021 | 7     | 25  | 385      |
| 75  | (056) 555-0309 | (971) 555-6468 | 2021 | 7     | 25  | 554      |
| 76  | (707) 555-7535 | (956) 555-1395 | 2021 | 7     | 25  | 111      |
| 77  | (343) 555-0167 | (973) 555-3809 | 2021 | 7     | 25  | 33       |
| 78  | (973) 555-3809 | (741) 555-1748 | 2021 | 7     | 25  | 550      |
| 79  | (751) 555-6567 | (826) 555-1652 | 2021 | 7     | 25  | 34       |
| 80  | (956) 555-1395 | (984) 555-5921 | 2021 | 7     | 26  | 404      |
| 81  | (502) 555-6712 | (594) 555-2863 | 2021 | 7     | 26  | 112      |
| 82  | (918) 555-5327 | (016) 555-9166 | 2021 | 7     | 26  | 398      |
| 83  | (147) 555-6818 | (398) 555-1013 | 2021 | 7     | 26  | 69       |
| 84  | (342) 555-9260 | (695) 555-0348 | 2021 | 7     | 26  | 340      |
| 85  | (130) 555-0289 | (730) 555-5115 | 2021 | 7     | 26  | 422      |
| 86  | (260) 555-0610 | (579) 555-5030 | 2021 | 7     | 26  | 132      |
| 87  | (984) 555-5921 | (068) 555-0183 | 2021 | 7     | 26  | 129      |
| 88  | (222) 555-8026 | (258) 555-5627 | 2021 | 7     | 26  | 85       |
| 89  | (918) 555-2946 | (267) 555-2761 | 2021 | 7     | 26  | 68       |
| 90  | (558) 555-9741 | (738) 555-2050 | 2021 | 7     | 26  | 49       |
| 91  | (971) 555-2231 | (194) 555-5027 | 2021 | 7     | 26  | 361      |
| 92  | (337) 555-9411 | (636) 555-3370 | 2021 | 7     | 26  | 578      |
| 93  | (238) 555-5554 | (310) 555-8568 | 2021 | 7     | 26  | 406      |
| 94  | (695) 555-0348 | (095) 555-3639 | 2021 | 7     | 26  | 299      |
| 95  | (406) 555-4440 | (041) 555-4011 | 2021 | 7     | 26  | 77       |
| 96  | (042) 555-1772 | (095) 555-3639 | 2021 | 7     | 26  | 497      |
| 97  | (060) 555-2489 | (286) 555-6063 | 2021 | 7     | 26  | 371      |
| 98  | (998) 555-1979 | (450) 555-8297 | 2021 | 7     | 26  | 431      |
| 99  | (337) 555-9411 | (568) 555-3190 | 2021 | 7     | 26  | 58       |
| 100 | (801) 555-8906 | (873) 555-8470 | 2021 | 7     | 26  | 131      |
| 101 | (873) 555-3868 | (873) 555-8470 | 2021 | 7     | 26  | 440      |
| 102 | (204) 555-4136 | (338) 555-6650 | 2021 | 7     | 26  | 322      |
| 103 | (869) 555-6696 | (971) 555-2231 | 2021 | 7     | 26  | 600      |
| 104 | (367) 555-5533 | (238) 555-5554 | 2021 | 7     | 26  | 84       |
| 105 | (394) 555-3247 | (234) 555-1294 | 2021 | 7     | 26  | 218      |
| 106 | (452) 555-8550 | (994) 555-3373 | 2021 | 7     | 26  | 48       |
| 107 | (707) 555-7535 | (238) 555-5554 | 2021 | 7     | 26  | 449      |
| 108 | (375) 555-8161 | (211) 555-3762 | 2021 | 7     | 26  | 57       |
| 109 | (960) 555-2044 | (770) 555-1196 | 2021 | 7     | 26  | 550      |
| 110 | (398) 555-1013 | (286) 555-0131 | 2021 | 7     | 26  | 346      |
| 111 | (821) 555-5262 | (529) 555-7276 | 2021 | 7     | 26  | 345      |
| 112 | (636) 555-4198 | (704) 555-5790 | 2021 | 7     | 26  | 593      |
| 113 | (033) 555-9033 | (035) 555-2997 | 2021 | 7     | 26  | 355      |
| 114 | (725) 555-3243 | (222) 555-8026 | 2021 | 7     | 26  | 545      |
| 115 | (704) 555-2131 | (499) 555-9472 | 2021 | 7     | 26  | 221      |
| 116 | (645) 555-8082 | (547) 555-8781 | 2021 | 7     | 26  | 466      |
| 117 | (505) 555-5698 | (027) 555-1068 | 2021 | 7     | 26  | 35       |
| 118 | (594) 555-2863 | (801) 555-9266 | 2021 | 7     | 26  | 423      |
| 119 | (168) 555-6126 | (869) 555-6696 | 2021 | 7     | 26  | 471      |
| 120 | (491) 555-2505 | (130) 555-0289 | 2021 | 7     | 26  | 381      |
| 121 | (666) 555-5774 | (721) 555-1131 | 2021 | 7     | 26  | 584      |
| 122 | (367) 555-5533 | (660) 555-3095 | 2021 | 7     | 26  | 399      |
| 123 | (918) 555-2946 | (380) 555-4380 | 2021 | 7     | 26  | 294      |
| 124 | (190) 555-4928 | (962) 555-5827 | 2021 | 7     | 26  | 435      |
| 125 | (380) 555-4380 | (037) 555-8455 | 2021 | 7     | 26  | 30       |
| 126 | (680) 555-4935 | (730) 555-5115 | 2021 | 7     | 26  | 571      |
| 127 | (194) 555-5027 | (233) 555-0473 | 2021 | 7     | 26  | 296      |
| 128 | (098) 555-1164 | (041) 555-4011 | 2021 | 7     | 26  | 480      |
| 129 | (267) 555-2761 | (033) 555-9033 | 2021 | 7     | 26  | 373      |
| 130 | (188) 555-4719 | (601) 555-6795 | 2021 | 7     | 26  | 286      |
| 131 | (487) 555-5865 | (222) 555-8026 | 2021 | 7     | 26  | 433      |
| 132 | (031) 555-9915 | (770) 555-1861 | 2021 | 7     | 26  | 575      |
| 133 | (367) 555-5533 | (286) 555-0131 | 2021 | 7     | 26  | 444      |
| 134 | (918) 555-5327 | (693) 555-7986 | 2021 | 7     | 26  | 458      |
| 135 | (505) 555-5698 | (772) 555-5770 | 2021 | 7     | 26  | 296      |
| 136 | (814) 555-5180 | (579) 555-5030 | 2021 | 7     | 26  | 100      |
| 137 | (770) 555-1861 | (770) 555-1196 | 2021 | 7     | 26  | 163      |
| 138 | (324) 555-0416 | (190) 555-4928 | 2021 | 7     | 26  | 441      |
| 139 | (427) 555-0556 | (321) 555-6083 | 2021 | 7     | 26  | 322      |
| 140 | (831) 555-0973 | (499) 555-9472 | 2021 | 7     | 26  | 118      |
| 141 | (717) 555-1342 | (117) 555-6630 | 2021 | 7     | 26  | 398      |
| 142 | (238) 555-5554 | (344) 555-9601 | 2021 | 7     | 26  | 72       |
| 143 | (738) 555-2050 | (704) 555-5790 | 2021 | 7     | 26  | 477      |
| 144 | (243) 555-7229 | (016) 555-9166 | 2021 | 7     | 26  | 187      |
| 145 | (321) 555-6083 | (829) 555-5269 | 2021 | 7     | 26  | 77       |
| 146 | (464) 555-2162 | (660) 555-3095 | 2021 | 7     | 26  | 228      |
| 147 | (877) 555-0523 | (801) 555-8906 | 2021 | 7     | 26  | 586      |
| 148 | (031) 555-6622 | (594) 555-6254 | 2021 | 7     | 26  | 576      |
| 149 | (891) 555-5672 | (869) 555-6696 | 2021 | 7     | 26  | 47       |
| 150 | (717) 555-1342 | (973) 555-3809 | 2021 | 7     | 26  | 284      |
| 151 | (234) 555-1294 | (971) 555-2231 | 2021 | 7     | 26  | 276      |
| 152 | (801) 555-8906 | (450) 555-8297 | 2021 | 7     | 26  | 35       |
| 153 | (147) 555-6818 | (914) 555-5994 | 2021 | 7     | 27  | 326      |
| 154 | (118) 555-8106 | (219) 555-0139 | 2021 | 7     | 27  | 129      |
| 155 | (962) 555-5827 | (458) 555-8396 | 2021 | 7     | 27  | 588      |
| 156 | (458) 555-8396 | (814) 555-5180 | 2021 | 7     | 27  | 375      |
| 157 | (035) 555-2997 | (801) 555-8906 | 2021 | 7     | 27  | 91       |
| 158 | (721) 555-1131 | (998) 555-1979 | 2021 | 7     | 27  | 586      |
| 159 | (821) 555-5262 | (839) 555-1757 | 2021 | 7     | 27  | 462      |
| 160 | (147) 555-6818 | (118) 555-8106 | 2021 | 7     | 27  | 499      |
| 161 | (670) 555-8598 | (911) 555-0229 | 2021 | 7     | 27  | 120      |
| 162 | (310) 555-8568 | (117) 555-6630 | 2021 | 7     | 27  | 185      |
| 163 | (068) 555-0183 | (751) 555-6567 | 2021 | 7     | 27  | 174      |
| 164 | (749) 555-4874 | (098) 555-1164 | 2021 | 7     | 27  | 234      |
| 165 | (869) 555-6696 | (458) 555-8396 | 2021 | 7     | 27  | 261      |
| 166 | (505) 555-5698 | (749) 555-4874 | 2021 | 7     | 27  | 276      |
| 167 | (286) 555-0131 | (601) 555-6795 | 2021 | 7     | 27  | 487      |
| 168 | (095) 555-3639 | (645) 555-8082 | 2021 | 7     | 27  | 509      |
| 169 | (118) 555-8106 | (496) 555-2096 | 2021 | 7     | 27  | 463      |
| 170 | (695) 555-0348 | (367) 555-5533 | 2021 | 7     | 27  | 218      |
| 171 | (310) 555-8568 | (751) 555-6567 | 2021 | 7     | 27  | 88       |
| 172 | (994) 555-3373 | (328) 555-9658 | 2021 | 7     | 27  | 600      |
| 173 | (117) 555-6630 | (544) 555-8087 | 2021 | 7     | 27  | 150      |
| 174 | (338) 555-6650 | (037) 555-8455 | 2021 | 7     | 27  | 352      |
| 175 | (789) 555-8833 | (960) 555-2044 | 2021 | 7     | 27  | 33       |
| 176 | (168) 555-6126 | (037) 555-8455 | 2021 | 7     | 27  | 116      |
| 177 | (007) 555-2874 | (670) 555-8598 | 2021 | 7     | 27  | 86       |
| 178 | (693) 555-7986 | (337) 555-9411 | 2021 | 7     | 27  | 264      |
| 179 | (007) 555-2874 | (188) 555-4719 | 2021 | 7     | 27  | 363      |
| 180 | (340) 555-8872 | (669) 555-6918 | 2021 | 7     | 27  | 594      |
| 181 | (636) 555-3370 | (608) 555-9302 | 2021 | 7     | 27  | 340      |
| 182 | (130) 555-0289 | (042) 555-1772 | 2021 | 7     | 27  | 273      |
| 183 | (994) 555-3373 | (027) 555-1068 | 2021 | 7     | 27  | 194      |
| 184 | (693) 555-7986 | (066) 555-9701 | 2021 | 7     | 27  | 176      |
| 185 | (260) 555-0610 | (464) 555-2162 | 2021 | 7     | 27  | 282      |
| 186 | (031) 555-6622 | (568) 555-3190 | 2021 | 7     | 27  | 563      |
| 187 | (047) 555-0577 | (962) 555-5827 | 2021 | 7     | 27  | 572      |
| 188 | (826) 555-1652 | (751) 555-6567 | 2021 | 7     | 27  | 81       |
| 189 | (328) 555-1152 | (680) 555-4935 | 2021 | 7     | 27  | 293      |
| 190 | (455) 555-5315 | (960) 555-2044 | 2021 | 7     | 27  | 352      |
| 191 | (496) 555-2096 | (368) 555-3561 | 2021 | 7     | 27  | 87       |
| 192 | (027) 555-1068 | (375) 555-8161 | 2021 | 7     | 27  | 71       |
| 193 | (067) 555-4133 | (707) 555-7535 | 2021 | 7     | 27  | 149      |
| 194 | (238) 555-5554 | (380) 555-4380 | 2021 | 7     | 27  | 560      |
| 195 | (452) 555-8550 | (098) 555-1164 | 2021 | 7     | 27  | 99       |
| 196 | (222) 555-8026 | (873) 555-8470 | 2021 | 7     | 27  | 577      |
| 197 | (789) 555-8833 | (031) 555-9915 | 2021 | 7     | 27  | 282      |
| 198 | (770) 555-1861 | (680) 555-4935 | 2021 | 7     | 27  | 430      |
| 199 | (344) 555-9601 | (604) 555-0153 | 2021 | 7     | 27  | 369      |
| 200 | (771) 555-6667 | (168) 555-6126 | 2021 | 7     | 27  | 169      |
| 201 | (608) 555-9302 | (067) 555-4133 | 2021 | 7     | 27  | 99       |
| 202 | (195) 555-4173 | (771) 555-7880 | 2021 | 7     | 27  | 325      |
| 203 | (998) 555-1979 | (195) 555-4173 | 2021 | 7     | 27  | 567      |
| 204 | (328) 555-9658 | (502) 555-6712 | 2021 | 7     | 27  | 93       |
| 205 | (730) 555-5115 | (707) 555-7535 | 2021 | 7     | 27  | 371      |
| 206 | (676) 555-6554 | (211) 555-3762 | 2021 | 7     | 27  | 158      |
| 207 | (427) 555-0556 | (901) 555-8732 | 2021 | 7     | 27  | 244      |
| 208 | (204) 555-4136 | (343) 555-0167 | 2021 | 7     | 27  | 91       |
| 209 | (801) 555-9266 | (814) 555-5180 | 2021 | 7     | 27  | 444      |
| 210 | (618) 555-9856 | (293) 555-1469 | 2021 | 7     | 27  | 244      |
| 211 | (336) 555-0077 | (098) 555-1164 | 2021 | 7     | 28  | 318      |
| 212 | (918) 555-5327 | (060) 555-2489 | 2021 | 7     | 28  | 146      |
| 213 | (491) 555-2505 | (478) 555-1565 | 2021 | 7     | 28  | 241      |
| 214 | (996) 555-8899 | (059) 555-4698 | 2021 | 7     | 28  | 142      |
| 215 | (704) 555-5790 | (772) 555-5770 | 2021 | 7     | 28  | 200      |
| 216 | (984) 555-5921 | (618) 555-9856 | 2021 | 7     | 28  | 546      |
| 217 | (579) 555-5030 | (971) 555-6468 | 2021 | 7     | 28  | 421      |
| 218 | (233) 555-0473 | (831) 555-0973 | 2021 | 7     | 28  | 113      |
| 219 | (293) 555-1469 | (749) 555-4874 | 2021 | 7     | 28  | 195      |
| 220 | (450) 555-8297 | (771) 555-7880 | 2021 | 7     | 28  | 298      |
| 221 | (130) 555-0289 | (996) 555-8899 | 2021 | 7     | 28  | 51       |
| 222 | (209) 555-7806 | (693) 555-7986 | 2021 | 7     | 28  | 487      |
| 223 | (918) 555-2946 | (006) 555-0505 | 2021 | 7     | 28  | 359      |
| 224 | (499) 555-9472 | (892) 555-8872 | 2021 | 7     | 28  | 36       |
| 225 | (669) 555-6918 | (914) 555-5994 | 2021 | 7     | 28  | 233      |
| 226 | (547) 555-8781 | (398) 555-1013 | 2021 | 7     | 28  | 272      |
| 227 | (544) 555-8087 | (389) 555-5198 | 2021 | 7     | 28  | 595      |
| 228 | (666) 555-5774 | (125) 555-8030 | 2021 | 7     | 28  | 326      |
| 229 | (047) 555-0577 | (059) 555-4698 | 2021 | 7     | 28  | 379      |
| 230 | (301) 555-4174 | (711) 555-3007 | 2021 | 7     | 28  | 583      |
| 231 | (801) 555-9266 | (984) 555-5921 | 2021 | 7     | 28  | 148      |
| 232 | (971) 555-6468 | (267) 555-2761 | 2021 | 7     | 28  | 149      |
| 233 | (367) 555-5533 | (375) 555-8161 | 2021 | 7     | 28  | 45       |
| 234 | (609) 555-5876 | (389) 555-5198 | 2021 | 7     | 28  | 60       |
| 235 | (357) 555-0246 | (502) 555-6712 | 2021 | 7     | 28  | 305      |
| 236 | (367) 555-5533 | (344) 555-9601 | 2021 | 7     | 28  | 120      |
| 237 | (394) 555-3247 | (035) 555-2997 | 2021 | 7     | 28  | 111      |
| 238 | (839) 555-1757 | (487) 555-5865 | 2021 | 7     | 28  | 278      |
| 239 | (770) 555-1196 | (324) 555-0416 | 2021 | 7     | 28  | 527      |
| 240 | (636) 555-4198 | (670) 555-8598 | 2021 | 7     | 28  | 69       |
| 241 | (068) 555-0183 | (770) 555-1861 | 2021 | 7     | 28  | 371      |
| 242 | (711) 555-3007 | (113) 555-7544 | 2021 | 7     | 28  | 157      |
| 243 | (060) 555-2489 | (204) 555-4136 | 2021 | 7     | 28  | 510      |
| 244 | (704) 555-2131 | (891) 555-5672 | 2021 | 7     | 28  | 103      |
| 245 | (367) 555-5533 | (022) 555-4052 | 2021 | 7     | 28  | 241      |
| 246 | (873) 555-3868 | (047) 555-0577 | 2021 | 7     | 28  | 109      |
| 247 | (867) 555-9103 | (068) 555-0183 | 2021 | 7     | 28  | 116      |
| 248 | (608) 555-9302 | (725) 555-3243 | 2021 | 7     | 28  | 280      |
| 249 | (901) 555-8732 | (491) 555-2505 | 2021 | 7     | 28  | 451      |
| 250 | (478) 555-1565 | (717) 555-1342 | 2021 | 7     | 28  | 573      |
| 251 | (499) 555-9472 | (717) 555-1342 | 2021 | 7     | 28  | 50       |
| 252 | (695) 555-0348 | (338) 555-6650 | 2021 | 7     | 28  | 383      |
| 253 | (696) 555-9195 | (258) 555-5627 | 2021 | 7     | 28  | 525      |
| 254 | (286) 555-6063 | (676) 555-6554 | 2021 | 7     | 28  | 43       |
| 255 | (770) 555-1861 | (725) 555-3243 | 2021 | 7     | 28  | 49       |
| 256 | (711) 555-3007 | (147) 555-6818 | 2021 | 7     | 28  | 358      |
| 257 | (725) 555-4692 | (821) 555-5262 | 2021 | 7     | 28  | 456      |
| 258 | (324) 555-0416 | (452) 555-8550 | 2021 | 7     | 28  | 328      |
| 259 | (234) 555-1294 | (772) 555-5770 | 2021 | 7     | 28  | 573      |
| 260 | (669) 555-6918 | (971) 555-6468 | 2021 | 7     | 28  | 67       |
| 261 | (031) 555-6622 | (910) 555-3251 | 2021 | 7     | 28  | 38       |
| 262 | (342) 555-9260 | (219) 555-0139 | 2021 | 7     | 28  | 404      |
| 263 | (342) 555-9260 | (487) 555-5865 | 2021 | 7     | 28  | 560      |
| 264 | (801) 555-9266 | (608) 555-9302 | 2021 | 7     | 28  | 425      |
| 265 | (398) 555-1013 | (329) 555-5870 | 2021 | 7     | 28  | 237      |
| 266 | (016) 555-9166 | (336) 555-0077 | 2021 | 7     | 28  | 88       |
| 267 | (594) 555-2863 | (491) 555-2505 | 2021 | 7     | 28  | 361      |
| 268 | (122) 555-4581 | (831) 555-0973 | 2021 | 7     | 28  | 491      |
| 269 | (914) 555-5994 | (973) 555-3809 | 2021 | 7     | 28  | 320      |
| 270 | (258) 555-5627 | (695) 555-0348 | 2021 | 7     | 28  | 368      |
| 271 | (751) 555-6567 | (594) 555-6254 | 2021 | 7     | 28  | 61       |
| 272 | (771) 555-7880 | (711) 555-3007 | 2021 | 7     | 28  | 288      |
| 273 | (219) 555-0139 | (867) 555-9103 | 2021 | 7     | 28  | 514      |
| 274 | (676) 555-6554 | (328) 555-9658 | 2021 | 7     | 28  | 153      |
| 275 | (749) 555-4874 | (492) 555-5484 | 2021 | 7     | 28  | 575      |
| 276 | (328) 555-9658 | (775) 555-7584 | 2021 | 7     | 28  | 579      |
| 277 | (219) 555-0139 | (910) 555-3251 | 2021 | 7     | 28  | 121      |
| 278 | (380) 555-4380 | (680) 555-4935 | 2021 | 7     | 28  | 550      |
| 279 | (826) 555-1652 | (066) 555-9701 | 2021 | 7     | 28  | 55       |
| 280 | (594) 555-6254 | (123) 555-5144 | 2021 | 7     | 28  | 346      |
| 281 | (338) 555-6650 | (704) 555-2131 | 2021 | 7     | 28  | 54       |
| 282 | (971) 555-6468 | (258) 555-5627 | 2021 | 7     | 28  | 441      |
| 283 | (730) 555-5115 | (343) 555-0167 | 2021 | 7     | 28  | 101      |
| 284 | (286) 555-6063 | (310) 555-8568 | 2021 | 7     | 28  | 235      |
| 285 | (367) 555-5533 | (704) 555-5790 | 2021 | 7     | 28  | 75       |
| 286 | (041) 555-4011 | (609) 555-5876 | 2021 | 7     | 28  | 565      |
| 287 | (478) 555-1565 | (031) 555-6622 | 2021 | 7     | 28  | 398      |
| 288 | (749) 555-4874 | (636) 555-4198 | 2021 | 7     | 29  | 324      |
| 289 | (016) 555-9166 | (204) 555-4136 | 2021 | 7     | 29  | 175      |
| 290 | (680) 555-4935 | (932) 555-1504 | 2021 | 7     | 29  | 305      |
| 291 | (067) 555-4133 | (321) 555-6083 | 2021 | 7     | 29  | 328      |
| 292 | (869) 555-6696 | (505) 555-5698 | 2021 | 7     | 29  | 453      |
| 293 | (324) 555-0416 | (704) 555-5790 | 2021 | 7     | 29  | 144      |
| 294 | (704) 555-2131 | (324) 555-0416 | 2021 | 7     | 29  | 575      |
| 295 | (031) 555-6622 | (464) 555-2162 | 2021 | 7     | 29  | 597      |
| 296 | (994) 555-3373 | (260) 555-0610 | 2021 | 7     | 29  | 281      |
| 297 | (544) 555-8087 | (020) 555-6715 | 2021 | 7     | 29  | 391      |
| 298 | (910) 555-3251 | (814) 555-5180 | 2021 | 7     | 29  | 249      |
| 299 | (741) 555-1748 | (707) 555-7535 | 2021 | 7     | 29  | 563      |
| 300 | (558) 555-9741 | (801) 555-9266 | 2021 | 7     | 29  | 45       |
| 301 | (211) 555-3762 | (956) 555-1395 | 2021 | 7     | 29  | 47       |
| 302 | (789) 555-8833 | (873) 555-3868 | 2021 | 7     | 29  | 430      |
| 303 | (877) 555-0523 | (636) 555-4198 | 2021 | 7     | 29  | 115      |
| 304 | (618) 555-9856 | (209) 555-7806 | 2021 | 7     | 29  | 567      |
| 305 | (293) 555-1469 | (721) 555-1131 | 2021 | 7     | 29  | 235      |
| 306 | (491) 555-2505 | (594) 555-2863 | 2021 | 7     | 29  | 282      |
| 307 | (891) 555-5672 | (676) 555-6554 | 2021 | 7     | 29  | 402      |
| 308 | (604) 555-0153 | (693) 555-7986 | 2021 | 7     | 29  | 480      |
| 309 | (547) 555-8781 | (337) 555-9411 | 2021 | 7     | 29  | 46       |
| 310 | (867) 555-9103 | (704) 555-2131 | 2021 | 7     | 29  | 433      |
| 311 | (609) 555-5876 | (839) 555-1757 | 2021 | 7     | 29  | 342      |
| 312 | (420) 555-5821 | (772) 555-5770 | 2021 | 7     | 29  | 382      |
| 313 | (344) 555-9601 | (340) 555-8872 | 2021 | 7     | 29  | 48       |
| 314 | (604) 555-0153 | (122) 555-4581 | 2021 | 7     | 29  | 443      |
| 315 | (338) 555-6650 | (478) 555-1565 | 2021 | 7     | 29  | 347      |
| 316 | (059) 555-4698 | (247) 555-7205 | 2021 | 7     | 29  | 393      |
| 317 | (910) 555-3251 | (579) 555-5030 | 2021 | 7     | 29  | 32       |
| 318 | (725) 555-3243 | (183) 555-7322 | 2021 | 7     | 29  | 369      |
| 319 | (406) 555-4440 | (122) 555-4581 | 2021 | 7     | 29  | 466      |
| 320 | (821) 555-5262 | (130) 555-0289 | 2021 | 7     | 29  | 263      |
| 321 | (601) 555-6795 | (427) 555-0556 | 2021 | 7     | 29  | 376      |
| 322 | (826) 555-1652 | (841) 555-3728 | 2021 | 7     | 29  | 246      |
